session_date,season_id,player_id,プレイヤー,リーグ,収支,bb_size,ハンド数,VPIP,VPIP_count,VPIP_hands,PFR,PFR_count,PFR_hands,3bet,3bet_count,3bet_hands,Fold to 3bet,Fold_to_3bet_count,Fold_to_3bet_hands,CB,CB_count,CB_hands,WTSD,WTSD_count,WTSD_hands,W$SD,W$SD_count,W$SD_hands
20260608,3,46bcb58c-75ae-43da-9973-67583ea19221,03/Omi,D,+758,20,924,15.58,144,924,12.45,115,924,9.88,34,344,25.0,5,20,69.77,30,43,29.07,25,86,48.0,12,25
20260608,3,d51959d6-9d74-41b0-867e-28d4f754897f,sugasuga,D,-60.29,20,923,19.07,176,923,12.03,111,923,6.02,20,332,86.36,19,22,55.56,25,45,34.91,37,106,51.35,19,37
20260608,3,6df32555-78c2-439e-b7ef-239b4930b532,若松,D,+23.48,20,780,20.26,158,780,14.1,110,780,6.45,18,279,57.14,16,28,51.28,20,39,35.96,32,89,68.75,22,32
20260608,3,K39Tra2qGg,tanishi,D,+135.79,20,715,30.35,217,715,23.08,165,715,10.47,29,277,48.48,16,33,59.42,41,69,28.15,38,135,39.47,15,38
20260608,3,cd698537-6ce2-4ae4-a098-14705b9d5507,よろろ,D,+296.13,20,701,26.25,184,701,19.83,139,701,12.65,31,245,48.65,18,37,70.45,31,44,35.51,38,107,42.11,16,38
20260608,3,92d5fa5f-9bbf-4e36-a2dc-9955f940c825,ますたーど,D,+85.29,20,692,24.71,171,692,16.47,114,692,7.27,20,275,59.09,13,22,52.27,23,44,33.03,36,109,63.89,23,36
20260608,3,4907cb5a-b993-4cbe-9990-48e2079d6101,みっちゃん,D,+120.32,20,683,17.72,121,683,14.49,99,683,9.09,23,253,39.13,9,23,48.89,22,45,31.65,25,79,60.0,15,25
20260608,3,k5rEzFp2MR,arash!,C,+27.22,20,676,21.75,147,676,18.79,127,676,10.17,24,236,75.0,21,28,62.3,38,61,40.0,34,85,58.82,20,34
20260608,3,W_OnerqyAy,naruko,C,-373.83,20,674,26.11,176,674,18.69,126,674,17.34,43,248,12.5,3,24,80.0,40,50,28.8,36,125,41.67,15,36
20260608,3,Oc04ITRF7i,waho,C,+230.92,20,673,20.06,135,673,16.64,112,673,12.6,33,262,56.67,17,30,64.86,24,37,35.29,24,68,45.83,11,24
20260608,3,5f3818e5-f4e0-44a5-b14f-76d6d270c526,driven,C,+178.04,20,669,24.51,164,669,20.78,139,669,12.28,28,228,56.76,21,37,71.15,37,52,30.59,26,85,50.0,13,26
20260608,3,3FatmzAl-m,Kuni,C,+101.32,20,663,28.96,192,663,17.95,119,663,11.11,28,252,23.81,5,21,78.57,33,42,25.2,32,127,43.75,14,32
20260608,3,-QE9uKlHEU,kenyu,C,+473.64,20,643,26.75,172,643,19.28,124,643,11.4,26,228,23.08,6,26,58.7,27,46,39.0,39,100,58.97,23,39
20260608,3,byYrvu0Qdy,ElNino,A,-509.23,20,630,23.02,145,630,19.68,124,630,12.88,30,233,54.55,18,33,68.09,32,47,40.0,34,85,38.24,13,34
20260608,3,Sc5KlYAPzP,mo’,B,-2.44,20,626,21.09,132,626,17.89,112,626,7.2,17,236,80.77,21,26,40.91,18,44,33.82,23,68,56.52,13,23
20260608,3,bqEtnO6wX9,つー,B,+405.39,20,617,20.75,128,617,15.72,97,617,10.76,27,251,47.62,10,21,50.0,22,44,36.59,30,82,60.0,18,30
20260608,3,MOu3OETQYg,take,D,+3.37,20,585,18.46,108,585,13.85,81,585,9.24,17,184,22.73,5,22,76.67,23,30,28.36,19,67,47.37,9,19
20260608,3,e568f359-6293-44ce-ab7e-da0a4cc386f4,t-two,D,+154.51,20,581,25.47,148,581,17.38,101,581,8.71,21,241,66.67,20,30,52.94,18,34,30.68,27,88,51.85,14,27
20260608,3,DXrWVNkdav,TNT,C,+266.75,20,567,28.04,159,567,24.34,138,567,21.27,47,221,53.33,8,15,62.32,43,69,39.39,39,99,61.54,24,39
20260608,3,hig4fvwo_m,とーち,C,+101.19,20,540,20.19,109,540,16.67,90,540,7.05,16,227,68.18,15,22,38.46,15,39,27.69,18,65,61.11,11,18
20260608,3,WtIP2AbI23,ノガード,B,+214.19,20,536,20.9,112,536,15.3,82,536,7.44,16,215,68.42,13,19,35.71,10,28,36.67,22,60,63.64,14,22
20260608,3,SQgoIV_H58,けーたさん,C,-386.9,20,526,20.72,109,526,15.59,82,526,8.8,19,216,33.33,7,21,61.54,16,26,36.36,24,66,41.67,10,24
20260608,3,b7sgMo_M-5,konasho,C,-71.33,20,522,19.73,103,522,14.75,77,522,7.77,16,206,71.43,10,14,69.23,18,26,29.09,16,55,62.5,10,16
20260608,3,3e3525d1-f54e-4a8c-81f7-e5dbf5746d2e,PONO,D,-29.85,20,506,18.77,95,506,13.24,67,506,8.43,15,178,70.0,7,10,55.17,16,29,41.38,24,58,58.33,14,24
20260608,3,UHNPbgw1ue,okbokujo,C,-89.8,20,495,24.85,123,495,16.36,81,495,8.65,16,185,63.16,12,19,56.76,21,37,25.3,21,83,28.57,6,21
20260608,3,8d5c4768-9957-4bb2-8ae7-6816ad99c03e,Harry,D,+53.47,20,494,22.06,109,494,15.38,76,494,3.43,6,175,64.71,11,17,60.61,20,33,34.78,24,69,70.83,17,24
20260608,3,0244c430-805a-4a11-878e-8a5163c41fa5,しーた,D,-72.16,20,493,19.88,98,493,16.84,83,493,7.98,15,188,61.9,13,21,51.85,14,27,31.25,15,48,46.67,7,15
20260608,3,c8c305c8-b68b-4dad-bf66-c6cf3b86dd85,shoheihoh,D,-290.38,20,466,25.75,120,466,20.82,97,466,12.09,22,182,45.83,11,24,57.58,19,33,39.39,26,66,34.62,9,26
20260608,3,9kBl9X8tEm,だいすけ,C,+191.73,20,464,25.43,118,464,15.95,74,464,12.63,24,190,50.0,6,12,41.67,15,36,28.57,24,84,41.67,10,24
20260608,3,26v7hSw7Sn,わた,C,-388.68,20,450,34.89,157,450,27.56,124,450,23.35,39,167,24.14,7,29,65.91,29,44,29.47,28,95,32.14,9,28
20260608,3,7d886adf-16f4-4e07-ba37-9af246a7cf52,SAKO,D,-372,20,428,33.88,145,428,18.93,81,428,8.14,14,172,66.67,16,24,48.28,14,29,37.76,37,98,43.24,16,37
20260608,3,HZmCRZd6SG,Neku,C,+48.07,20,413,22.52,93,413,17.19,71,413,7.84,12,153,85.0,17,20,38.1,8,21,30.43,14,46,71.43,10,14
20260608,3,c47d4473-9ba3-4118-b23a-6b4b45af3f12,ShigreUi,D,+262.37,20,411,17.52,72,411,16.3,67,411,8.51,12,141,52.94,9,17,40.74,11,27,33.33,13,39,69.23,9,13
20260608,3,fb20ad0b-a6bc-4ac4-a705-f477c854116f,Ryo,D,-443.77,20,404,27.48,111,404,18.32,74,404,11.69,18,154,52.63,10,19,81.48,22,27,29.58,21,71,38.1,8,21
20260608,3,1d32d216-4345-4ad5-a5f1-926c9e8b1195,danbo,D,-167.96,20,364,20.33,74,364,14.29,52,364,6.72,9,134,20.0,2,10,40.0,10,25,25.49,13,51,46.15,6,13
20260608,3,1d186691-036d-4627-b99c-2a88014e7853,はなうさ,D,-131.01,20,364,37.64,137,364,26.37,96,364,18.38,25,136,20.0,5,25,64.52,20,31,31.18,29,93,48.28,14,29
20260608,3,kVKTrcl3ld,Futa,C,-16.04,20,361,25.76,93,361,16.07,58,361,11.45,15,131,43.75,7,16,38.1,8,21,27.42,17,62,52.94,9,17
20260608,3,nPiUhQEVMi,かいる,B,+55.66,20,341,21.41,73,341,16.42,56,341,7.43,11,148,33.33,5,15,68.42,13,19,43.48,20,46,45.0,9,20
20260608,3,971712d5-777f-4352-8d9a-b73723b1b0cb,kohey634,D,-212.34,20,340,17.94,61,340,15.29,52,340,12.17,14,115,54.55,6,11,52.94,9,17,30.0,9,30,44.44,4,9
20260608,3,5a2f2349-2076-4d91-9540-446b451bb025,FourTet,D,-171.17,20,309,24.27,75,309,18.77,58,309,9.82,11,112,61.11,11,18,33.33,5,15,37.84,14,37,35.71,5,14
20260608,3,Oo-rx1G24B,GIL RAIM,C,-102.28,20,304,26.32,80,304,17.11,52,304,9.62,10,104,9.09,1,11,62.5,15,24,34.92,22,63,40.91,9,22
20260608,3,251817db-4d47-485c-be51-29c47e0c0296,てるな,D,-240.68,20,296,22.97,68,296,16.89,50,296,12.93,15,116,8.33,1,12,76.47,13,17,25.58,11,43,36.36,4,11
20260608,3,vdNIJNJGUU,すとふぁ,C,+52.53,20,278,24.82,69,278,21.58,60,278,12.5,11,88,63.64,7,11,86.36,19,22,42.42,14,33,42.86,6,14
20260608,3,5dd36f6f-ecc1-497c-93a2-779e89ef5393,Kaoru,D,-13.2,20,259,28.96,75,259,22.39,58,259,16.83,17,101,30.0,3,10,81.48,22,27,41.18,21,51,47.62,10,21
20260608,3,a19dc17a-fb66-479d-900c-93dbfc56e84b,Hiruma,D,+105.18,20,252,25.0,63,252,19.84,50,252,5.88,5,85,45.45,5,11,50.0,11,22,35.0,14,40,57.14,8,14
20260608,3,83ad7a42-97f6-4455-a8b1-bc1bffaf5208,kumasuke,D,-69.68,20,235,17.02,40,235,15.32,36,235,8.43,7,83,81.82,9,11,53.85,7,13,38.89,7,18,71.43,5,7
20260608,3,yOGROR9-hE,ワイエム,C,-278.44,20,232,38.79,90,232,15.09,35,232,11.58,11,95,16.67,1,6,31.25,5,16,44.3,35,79,34.29,12,35
20260608,3,mXg0a8r7as,Fuku,C,+108.95,20,217,19.82,43,217,11.06,24,217,7.69,6,78,60.0,3,5,85.71,6,7,46.15,12,26,58.33,7,12
20260608,3,9f6f4359-8f01-4a2a-802a-8e77d02fea6f,vivi,D,+150.94,20,185,17.84,33,185,14.59,27,185,5.63,4,71,42.86,3,7,28.57,2,7,31.25,5,16,60.0,3,5
20260608,3,514c57a9-c8e8-4ea6-b08c-1771ef1bb983,Latias,D,-79.52,20,182,26.37,48,182,19.78,36,182,15.71,11,70,33.33,2,6,61.54,8,13,35.71,10,28,40.0,4,10
20260608,3,ZzPjBrJeSm,roi,C,-138.9,20,169,22.49,38,169,18.93,32,169,12.35,10,81,33.33,1,3,80.0,12,15,30.77,8,26,50.0,4,8
20260608,3,WjqaCs8A5o,ばどえあー,C,-60.09,20,168,23.21,39,168,18.45,31,168,11.27,8,71,0.0,0,1,69.23,9,13,20.0,4,20,75.0,3,4
20260608,3,e0262b57-20d4-49bb-a960-0ee93ec77638,4kawa-しかわ,D,-29.94,20,166,16.27,27,166,14.46,24,166,7.46,5,67,50.0,3,6,23.08,3,13,56.25,9,16,44.44,4,9
20260608,3,slkZ1a7tQQ,cheep,D,-187.76,20,162,19.14,31,162,11.73,19,162,8.06,5,62,66.67,2,3,40.0,4,10,36.36,8,22,37.5,3,8
20260608,3,MqZu0oArm3,小鳥遊ひいろ,C,-49.53,20,142,18.31,26,142,16.2,23,142,12.24,6,49,83.33,5,6,75.0,6,8,41.67,5,12,60.0,3,5
20260608,3,r1CBe6Qe79,なんでやねん,A,+3.28,20,136,29.41,40,136,24.26,33,136,10.71,6,56,100.0,8,8,70.0,7,10,11.76,2,17,0.0,0,2
20260608,3,d2a3a3c5-e0d1-4f39-8372-305f20f02378,POPOI,D,+70.2,20,135,48.15,65,135,29.63,40,135,8.62,5,58,45.45,5,11,50.0,8,16,51.11,23,45,60.87,14,23
20260608,3,135b22ff-1dfd-4d8f-8732-723fe34ca280,Hyatt,D,-201.71,20,132,21.97,29,132,15.15,20,132,3.92,2,51,40.0,2,5,50.0,4,8,27.78,5,18,40.0,2,5
20260608,3,7543ff41-88d2-4d6c-9de3-c798e5082349,つっきー08,D,-33.03,20,117,25.64,30,117,16.24,19,117,4.76,2,42,50.0,2,4,50.0,4,8,35.0,7,20,14.29,1,7
20260608,3,f2a09996-336c-4f71-b325-d13722a8cbcc,mono,D,-103.75,20,112,30.36,34,112,16.07,18,112,8.33,4,48,50.0,1,2,77.78,7,9,68.0,17,25,47.06,8,17
20260608,3,b6192e91-f18a-43fc-bfbe-53570ea81fae,soshi,D,-9.81,20,112,23.21,26,112,16.07,18,112,8.11,3,37,100.0,3,3,66.67,4,6,42.86,6,14,16.67,1,6
20260608,3,7n59-giX1P,るも,C,-105.4,20,112,25.89,29,112,19.64,22,112,9.8,5,51,100.0,1,1,36.36,4,11,47.37,9,19,22.22,2,9
20260608,3,841e92f5-7e20-412e-aa89-d222a7b5c668,ジル,D,-169.69,20,103,20.39,21,103,13.59,14,103,13.89,5,36,0.0,0,1,14.29,1,7,50.0,7,14,14.29,1,7
20260608,3,288b85dc-55f8-4787-b982-662a8fc5d192,TAKUMA,D,-60.01,20,99,29.29,29,99,20.2,20,99,21.05,8,38,25.0,1,4,75.0,3,4,6.67,1,15,0.0,0,1
20260608,3,70077ba2-470c-422e-98eb-96dcebac25e7,いっくん,D,-216.55,20,94,26.6,25,94,22.34,21,94,13.89,5,36,33.33,1,3,63.64,7,11,22.22,4,18,25.0,1,4
20260608,3,e936aa2d-575c-4d9a-8256-51088cf65ade,Setsuna004,D,+12.22,20,89,25.84,23,89,20.22,18,89,11.36,5,44,60.0,3,5,50.0,4,8,42.86,6,14,50.0,3,6
20260608,3,545c5473-094c-423f-b1bd-4dbcb8640e1a,MUU,D,+14.82,20,88,19.32,17,88,14.77,13,88,8.0,2,25,66.67,2,3,60.0,3,5,20.0,2,10,50.0,1,2
20260608,3,9oC3qxWkzn,kosuke,D,-3.04,20,83,13.25,11,83,7.23,6,83,5.0,1,20,0.0,0,0,0.0,0,2,42.86,3,7,66.67,2,3
20260608,3,d5d4a338-46c8-42b3-8d59-fe0d92d657bc,Key,D,-172.71,20,78,37.18,29,78,26.92,21,78,21.43,6,28,20.0,1,5,50.0,5,10,35.0,7,20,42.86,3,7
20260608,3,e5011537-146b-4b70-bcb7-46ffeeb508ba,Lo,D,-146.77,20,75,20.0,15,75,16.0,12,75,11.11,3,27,66.67,2,3,40.0,2,5,22.22,2,9,0.0,0,2
20260608,3,b7aba243-51f8-4ae4-88e2-b16bdbe6062c,ko,D,-113.32,20,75,17.33,13,75,16.0,12,75,10.0,2,20,100.0,3,3,40.0,2,5,50.0,3,6,33.33,1,3
20260608,3,d66c5044-b7df-48b3-9549-da3ded3c2b91,kzh,D,+12.71,20,72,27.78,20,72,22.22,16,72,11.11,3,27,0.0,0,0,81.82,9,11,7.69,1,13,0.0,0,1
20260608,3,02c8f131-97fb-4490-8e42-a8187a60a294,Maru,D,+33.53,20,71,22.54,16,71,21.13,15,71,15.38,4,26,100.0,6,6,60.0,3,5,33.33,2,6,50.0,1,2
20260608,3,8efff5dc-2e02-4106-815b-a693259b4262,sei,D,-33.62,20,56,26.79,15,56,19.64,11,56,4.76,1,21,0.0,0,3,0.0,0,2,55.56,5,9,20.0,1,5
20260608,3,9FY377ItlI,あこ,D,+9.27,20,49,16.33,8,49,8.16,4,49,0.0,0,22,100.0,2,2,100.0,2,2,33.33,2,6,50.0,1,2
20260608,3,yHZrsG6l5j,sigma,C,-24.23,20,45,26.67,12,45,22.22,10,45,10.0,2,20,100.0,2,2,100.0,3,3,20.0,1,5,0.0,0,1
20260608,3,0b6406d2-c007-4718-99c4-f404d7029710,にるも,D,-180.98,20,43,65.12,28,43,20.93,9,43,5.88,1,17,0.0,0,1,100.0,2,2,30.43,7,23,14.29,1,7
