session_date,season_id,player_id,プレイヤー,リーグ,収支,bb_size,ハンド数,VPIP,VPIP_count,VPIP_hands,PFR,PFR_count,PFR_hands,3bet,3bet_count,3bet_hands,Fold to 3bet,Fold_to_3bet_count,Fold_to_3bet_hands,CB,CB_count,CB_hands,WTSD,WTSD_count,WTSD_hands,W$SD,W$SD_count,W$SD_hands
20260202,1,WeOKnoOueQ,hinano,C,-78.7,20,151,49.01,74,151,31.79,48,151,15.38,8,52,62.5,5,8,61.54,8,13,38.71,12,31,50.0,6,12
20260202,1,t7MdS6sSCT,satoru,C,+175.9,20,146,27.4,40,146,19.18,28,146,10.94,7,64,50.0,2,4,36.36,4,11,40.91,9,22,66.67,6,9
20260202,1,XaClitYV1x,らねおか,C,+24.95,20,138,30.43,42,138,19.57,27,138,8.62,5,58,66.67,6,9,14.29,1,7,33.33,5,15,80.0,4,5
20260202,1,3liBhfdN10,揚げもち,C,+165.5,20,135,30.37,41,135,24.44,33,135,12.0,6,50,66.67,2,3,46.15,6,13,60.0,12,20,75.0,9,12
20260202,1,y4bVPCJM4_,なかい,C,-47.15,20,132,16.67,22,132,9.85,13,132,1.64,1,61,50.0,3,6,50.0,1,2,9.09,1,11,100.0,1,1
20260202,1,O2b7zy1-XM,SetsunaTrip,C,+45.35,20,129,24.81,32,129,19.38,25,129,5.66,3,53,50.0,4,8,60.0,6,10,38.89,7,18,42.86,3,7
20260202,1,D0RgrTLvZk,Yu.,C,+0.5,20,127,29.92,38,127,22.83,29,127,10.91,6,55,100.0,8,8,40.0,4,10,47.06,8,17,75.0,6,8
20260202,1,vdNIJNJGUU,すとふぁ,C,+61.8,20,126,26.98,34,126,21.43,27,126,8.0,4,50,50.0,3,6,87.5,7,8,17.65,3,17,100.0,3,3
20260202,1,r1CBe6Qe79,なんでやねん,C,-53.25,20,124,35.48,44,124,25.81,32,124,14.89,7,47,57.14,4,7,28.57,2,7,25.0,4,16,25.0,1,4
20260202,1,MqZu0oArm3,小鳥遊ひいろ,C,+34.65,20,122,21.31,26,122,13.93,17,122,1.92,1,52,33.33,1,3,50.0,2,4,42.86,6,14,50.0,3,6
20260202,1,BZCdwuhpMU,実力の若林,C,+37.75,20,116,35.34,41,116,23.28,27,116,8.7,4,46,25.0,1,4,33.33,3,9,45.45,10,22,50.0,5,10
20260202,1,X2HiN5-cFQ,ゴン02（江戸犬）,C,-225.55,20,114,32.46,37,114,25.44,29,114,10.81,4,37,33.33,2,6,80.0,4,5,61.54,8,13,37.5,3,8
20260202,1,QBTw2JRIw5,Ramune,C,+86.3,20,114,27.19,31,114,19.3,22,114,6.67,3,45,66.67,4,6,50.0,3,6,33.33,4,12,75.0,3,4
20260202,1,OOnwSL9TFS,つだピもん,C,-25.85,20,113,27.43,31,113,15.04,17,113,9.3,4,43,100.0,3,3,100.0,1,1,44.44,4,9,25.0,1,4
20260202,1,EN9N_Z9A78,ぼくだよ,C,-13.65,20,112,28.57,32,112,20.54,23,112,10.87,5,46,50.0,2,4,63.64,7,11,22.22,4,18,75.0,3,4
20260202,1,j_3joKfzS9,takatony,C,-111.35,20,112,29.46,33,112,22.32,25,112,15.91,7,44,66.67,2,3,28.57,2,7,13.33,2,15,0.0,0,2
20260202,1,yokMVzYG_q,AontheRiver,C,+209.3,20,112,40.18,45,112,30.36,34,112,12.5,5,40,87.5,7,8,61.54,8,13,22.22,4,18,100.0,4,4
20260202,1,MI-fYAoFiY,ゆうま,C,-24.5,20,112,24.11,27,112,17.86,20,112,2.22,1,45,100.0,5,5,62.5,5,8,7.69,1,13,0.0,0,1
20260202,1,wE-EPOxf9q,宇宙１のたっちゃん,C,-448.75,20,110,43.64,48,110,24.55,27,110,16.28,7,43,42.86,3,7,46.15,6,13,37.5,12,32,33.33,4,12
20260202,1,GtqOGZOqIV,粗茶,C,-45.25,20,109,29.36,32,109,22.94,25,109,13.51,5,37,50.0,3,6,53.85,7,13,23.81,5,21,60.0,3,5
20260202,1,cS0TbNKfbn,Takatobi,C,+9.15,20,108,27.78,30,108,19.44,21,108,11.63,5,43,50.0,2,4,66.67,6,9,20.0,3,15,33.33,1,3
20260202,1,7htETinMJU,MAX,C,-4.3,20,105,16.19,17,105,12.38,13,105,13.21,7,53,0.0,0,1,25.0,1,4,12.5,1,8,100.0,1,1
