session_date,season_id,player_id,プレイヤー,リーグ,収支,bb_size,ハンド数,VPIP,VPIP_count,VPIP_hands,PFR,PFR_count,PFR_hands,3bet,3bet_count,3bet_hands,Fold to 3bet,Fold_to_3bet_count,Fold_to_3bet_hands,CB,CB_count,CB_hands,WTSD,WTSD_count,WTSD_hands,W$SD,W$SD_count,W$SD_hands
20260413,2,j_3joKfzS9,takatony,B,+60.01,20,677,19.94,135,677,14.92,101,677,13.04,24,184,66.67,22,33,62.96,17,27,28.77,21,73,52.38,11,21
20260413,2,X2HiN5-cFQ,ゴン02（江戸犬）,C,-26.44,20,674,22.4,151,674,18.1,122,674,9.6,19,198,55.0,11,20,58.7,27,46,38.82,33,85,51.52,17,33
20260413,2,QBTw2JRIw5,Ramune,B,+104.69,20,632,21.04,133,632,16.3,103,632,12.74,20,157,61.9,13,21,47.73,21,44,33.33,27,81,51.85,14,27
20260413,2,r1CBe6Qe79,なんでやねん,B,-119.71,20,572,24.48,140,572,18.36,105,572,17.42,31,178,87.5,21,24,37.14,13,35,40.54,30,74,43.33,13,30
20260413,2,byYrvu0Qdy,ElNino,B,+251.4,20,569,23.2,132,569,17.22,98,569,18.35,29,158,41.18,7,17,61.54,24,39,39.24,31,79,51.61,16,31
20260413,2,Kyu60mEERY,Sabosuke,C,-83.25,20,562,22.42,126,562,19.04,107,562,14.18,19,134,67.74,21,31,44.83,13,29,29.41,15,51,46.67,7,15
20260413,2,yEOnuJcBZo,Rabbit900,B,-518.71,20,550,23.82,131,550,18.36,101,550,18.12,25,138,45.0,9,20,56.41,22,39,39.19,29,74,31.03,9,29
20260413,2,b7sgMo_M-5,konasho,B,-87.77,20,525,21.9,115,525,16.76,88,525,10.53,20,190,77.14,27,35,60.0,12,20,36.0,18,50,16.67,3,18
20260413,2,-QE9uKlHEU,kenyu,C,-1.26,20,494,27.94,138,494,16.4,81,494,12.96,14,108,26.32,5,19,80.0,24,30,35.11,33,94,54.55,18,33
20260413,2,nPiUhQEVMi,かいる,B,+50.73,20,482,21.16,102,482,16.6,80,482,12.5,16,128,37.5,6,16,70.97,22,31,43.33,26,60,53.85,14,26
20260413,2,DXrWVNkdav,TNT,B,-173.19,20,462,40.26,186,462,28.35,131,462,20.0,31,155,57.69,15,26,69.77,30,43,37.74,40,106,60.0,24,40
20260413,2,-R7k1ogPyi,SHINJI1223,B,+273.26,20,452,26.55,120,452,23.23,105,452,19.12,26,136,55.56,10,18,70.45,31,44,44.78,30,67,60.0,18,30
20260413,2,YkRLv6Nf7r,27,C,-345.08,20,422,24.88,105,422,20.62,87,422,14.41,16,111,73.91,17,23,56.52,13,23,44.68,21,47,57.14,12,21
20260413,2,WtIP2AbI23,ノガード,C,+23.61,20,418,18.66,78,418,15.31,64,418,10.85,14,129,100.0,13,13,47.62,10,21,22.22,8,36,62.5,5,8
20260413,2,EI0h9NvLRP,いっせ,B,+92.34,20,412,23.54,97,412,18.45,76,412,15.84,16,101,63.16,12,19,46.15,12,26,33.96,18,53,55.56,10,18
